,Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID
1065,1191,UEI-IMD-FL-1984-0048,12/8/1984,12/8/1984,0,heavy rains,,"Dewas, Ratlam",Madhya Pradesh,,,,,1,1,,,1 person died and another injured in a house collapse in Jabran colony,12 houses collapsed,IMD,
1066,1192,UEI-IMD-FL-1984-0049,17-08-1984,17-08-1984,0,severe,,Balaghat,Madhya Pradesh,,,,,103,108,,,103 people died and 108 injured when 5 bogies of Jabalpur-Gondia passenger train fell into swollen Nahar nullah,,IMD,
1067,1193,UEI-IMD-FL-1984-0050,18-08-1984,18-08-1984,0,heavy rains,,"Bhopal, Khandwa, Raipur",Madhya Pradesh,,,,,4,12,,,4 persons died and 12 injured in house collapse,i)Khandwa town cut off from rest of the state ii)Vehicular traffic completely disrupted,IMD,
1068,1194,UEI-IMD-FL-1984-0051,19-08-1984,19-08-1984,0,heavy rains,,Jabalpur,Madhya Pradesh,,,,,6,,,,i)5 persons died when a bus fell into a nullah near Jabalpur city ii)1 person died when water entered into the house,,IMD,
1069,1195,UEI-IMD-FL-1984-0052,20-08-1984,20-08-1984,0,heavy rains,,Hoshangabad,Madhya Pradesh,,,,,5,,,,5 persons died  in a house collapse,,IMD,
1070,1196,UEI-IMD-FL-1984-0053,21-08-1984,21-08-1984,0,severe,,Ratlam,Madhya Pradesh,,,,,6,,,,6 persons died in a landslide at Rampuria,Kharif crop worth rs. 8 to 10 crore damaged,IMD,
1071,1197,UEI-IMD-FL-1984-0054,22-08-1984,22-08-1984,0,heavy rains,,"Raigarh, Raipur",Madhya Pradesh,,,,,3,,,,2 women and a child killed in a house collapse,A bridge at pelykhedi damaged,IMD,
1072,1198,UEI-IMD-FL-1984-0055,27-08-1984,27-08-1984,0,heavy rains,,Ujjain,Madhya Pradesh,,,,,,,,,,1 bridge badly damaged,IMD,
1073,1199,UEI-IMD-FL-1984-0056,9/6/1984,9/6/1984,0,heavy rains,,Pune,Maharastra,,,,,12,,,,12 slum dwellers drowned on Shankarseth road,,IMD,
1074,1200,UEI-IMD-FL-1984-0057,15-06-1984,15-06-1984,0,heavy rains,,Greater Mumbai,Maharastra,,,,,,,,,,i)Low lying areas flooded ii)Vehicular traffic disrupted iii)Airflights delayed or diverted to Delhi,IMD,
